[21/02/2021 16:46:14] || Num active bids: 4
[21/02/2021 16:46:18] || Num active bids: 4
[21/02/2021 16:46:23] || Num active bids: 4
[21/02/2021 16:46:27] || Num active bids: 4
[21/02/2021 16:46:31] || Num active bids: 4
[21/02/2021 16:48:58] || User is not on Watchlist, breaking method here
[21/02/2021 16:48:58] || inside transferlist method now
[21/02/2021 16:49:00] || Num active bids: 3
[21/02/2021 16:49:01] || Checking if we should outbid Lamela || Stop bidding at: 1615.0 || CurBid: 1400
[21/02/2021 16:49:05] || Bid succesfully went through!
[21/02/2021 16:49:06] || Successfully outbid Lamela || Stop price: 1615.0 || CurBid: 1400
[21/02/2021 16:49:06] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:06] || Num active bids: 3
[21/02/2021 16:49:07] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:08] || Num active bids: 3
[21/02/2021 16:49:09] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:09] || Num active bids: 3
[21/02/2021 16:49:10] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:11] || Num active bids: 3
[21/02/2021 16:49:11] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:12] || Num active bids: 3
[21/02/2021 16:49:13] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:13] || Num active bids: 3
[21/02/2021 16:49:13] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:14] || Num active bids: 3
[21/02/2021 16:49:15] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:16] || Num active bids: 3
[21/02/2021 16:49:17] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:17] || Num active bids: 3
[21/02/2021 16:49:18] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:19] || Num active bids: 3
[21/02/2021 16:49:20] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:20] || Num active bids: 3
[21/02/2021 16:49:21] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:21] || Num active bids: 3
[21/02/2021 16:49:22] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:23] || Num active bids: 3
[21/02/2021 16:49:23] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:24] || Num active bids: 3
[21/02/2021 16:49:25] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:25] || Num active bids: 3
[21/02/2021 16:49:26] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:26] || Num active bids: 3
[21/02/2021 16:49:27] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:28] || Num active bids: 3
[21/02/2021 16:49:29] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:30] || Num active bids: 3
[21/02/2021 16:49:31] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:32] || Num active bids: 3
[21/02/2021 16:49:32] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:33] || Num active bids: 3
[21/02/2021 16:49:34] || Checking if we should outbid Rodríguez || Stop bidding at: None || CurBid: 950
[21/02/2021 16:49:34] || Num active bids: 3
[21/02/2021 16:55:38] || Num active bids: 2
[21/02/2021 16:55:41] || Num active bids: 2
[21/02/2021 16:55:45] || Num active bids: 2
[21/02/2021 16:55:48] || Num active bids: 2
[21/02/2021 16:55:52] || Num active bids: 2
[21/02/2021 16:55:55] || Num active bids: 2
[21/02/2021 16:55:59] || Num active bids: 2
[21/02/2021 16:56:03] || Num active bids: 2
[21/02/2021 16:56:07] || Num active bids: 2
[21/02/2021 16:56:11] || Num active bids: 2
[21/02/2021 16:56:14] || Num active bids: 2
[21/02/2021 16:56:18] || Num active bids: 2
